ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10112,0.2527472527472528,1.0,1,0.4946065157084173,2003-03-24,SHIPPED,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,CA,S-958 22,Sweden,EMEA,Berglund,Christina,Large
10126,0.3516483516483517,1.0,11,0.5034259341635375,2003-05-28,SHIPPED,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,CA,28023,Spain,EMEA,Sommer,Mart¡n,Large
10140,0.3406593406593407,1.0,11,0.506737535724343,2003-07-24,SHIPPED,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Large
10163,0.16483516483516486,1.0,1,0.3219039944355682,2003-10-20,SHIPPED,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,EMEA,Hernandez,Maria,Medium
10183,0.18681318681318687,1.0,8,0.35957346218973035,2003-11-13,SHIPPED,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,EMEA,Cervantes,Francisca,Medium
10194,0.39560439560439564,1.0,11,0.5005804861084049,2003-11-25,SHIPPED,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,CA,69004,France,EMEA,Saveley,Mary,Large
10215,0.3186813186813187,1.0,3,0.41124224027198664,2004-01-29,SHIPPED,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,USA,EMEA,Thompson,Steve,Medium
10228,0.2527472527472528,1.0,2,0.439765099807583,2004-03-10,SHIPPED,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,MA,51247,USA,EMEA,Tseng,Kyung,Medium
10245,0.3076923076923077,1.0,9,0.4145538418327921,2004-05-04,SHIPPED,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,CT,97823,USA,EMEA,Murphy,Leslie,Medium
10258,0.28571428571428575,1.0,6,0.5292761312494164,2004-06-15,SHIPPED,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
10270,0.16483516483516486,1.0,9,0.325223683833223,2004-07-19,SHIPPED,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10291,0.3406593406593407,1.0,11,0.48924501513528373,2004-09-08,SHIPPED,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,CA,S-844 67,Sweden,EMEA,Larsson,Maria,Large
10322,0.3736263736263737,1.0,1,0.4057351586355672,2004-11-04,SHIPPED,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,EMEA,Young,Valarie,Medium
10333,0.21978021978021983,1.0,3,0.1853489570734383,2004-11-18,SHIPPED,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,28034,USA,EMEA,Murphy,Julie,Medium
10347,0.2637362637362638,1.0,1,0.25458819308166436,2004-11-29,SHIPPED,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10357,0.28571428571428575,1.0,10,0.38304804101562645,2004-12-10,SHIPPED,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,EMEA,Nelson,Valarie,Medium
10369,0.38461538461538464,1.0,2,0.2965140687921992,2005-01-20,SHIPPED,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,EMEA,Nelson,Allen,Medium
10391,0.19780219780219782,1.0,4,0.14223049305659205,2005-03-09,SHIPPED,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411,0.18681318681318687,1.0,9,0.26896469071009,2005-05-01,SHIPPED,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,EMEA,Fresnisre,Jean,Medium
10107,0.3626373626373627,0.9987691466083151,5,0.25104351476802245,2003-02-24,SHIPPED,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,EMEA,Yu,Kwai,Medium
10120,0.2527472527472528,0.949945295404814,3,0.16997177344939626,2003-04-29,SHIPPED,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10134,0.23076923076923078,1.0,5,0.20775741195102887,2003-07-01,SHIPPED,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,CA,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,0.3406593406593407,1.0,9,0.3463667598728592,2003-08-25,SHIPPED,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,EMEA,Young,Julie,Medium
10159,0.3406593406593407,1.0,17,0.33341739781937213,2003-10-10,SHIPPED,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,28034,USA,EMEA,Brown,Julie,Medium
10168,0.23076923076923078,1.0,4,0.23372377978437825,2003-10-28,SHIPPED,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Medium
10180,0.39560439560439564,1.0,12,0.309798708445981,2003-11-11,SHIPPED,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,CA,59000,France,EMEA,Rance,Martine,Medium
10188,0.3516483516483517,0.949945295404814,4,0.2337230445264829,2003-11-18,SHIPPED,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,0.19780219780219782,1.0,5,0.18703416816965635,2003-12-01,SHIPPED,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,28034,USA,EMEA,Murphy,Julie,Medium
10210,0.18681318681318687,1.0,2,0.1857967291317266,2004-01-12,SHIPPED,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,0.4505494505494506,1.0,4,0.36323651702452897,2004-02-20,SHIPPED,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10236,0.17582417582417587,1.0,1,0.1742524449163166,2004-04-03,SHIPPED,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,EMEA,Hernandez,Rosa,Small
10251,0.41758241758241765,1.0,5,0.3878036890829643,2004-05-18,SHIPPED,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,EMEA,Brown,William,Medium
10263,0.3736263736263737,1.0,5,0.293358341905215,2004-06-28,SHIPPED,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,EMEA,King,Julie,Medium
10275,0.17582417582417587,1.0,4,0.17810225525654252,2004-07-23,SHIPPED,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,CA,44000,France,EMEA,Labrune,Janine,Small
10285,0.4505494505494506,1.0,9,0.44133561067212135,2004-08-27,SHIPPED,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,EMEA,Hernandez,Marta,Medium
10298,0.3626373626373627,0.949945295404814,1,0.24080651909060363,2004-09-27,SHIPPED,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,CA,44000,France,EMEA,Schmitt,Carine,Medium
10308,0.3076923076923077,1.0,2,0.26188636295123696,2004-10-15,SHIPPED,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,EMEA,Frick,Steve,Medium
10318,0.4285714285714286,1.0,4,0.37383231855489474,2004-11-02,SHIPPED,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,EMEA,Yu,Kyung,Medium
10329,0.15384615384615385,1.0,2,0.19806891866356585,2004-11-15,SHIPPED,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,EMEA,Yu,Kwai,Medium
10339,0.3736263736263737,0.574945295404814,4,0.1672469076891065,2004-11-23,SHIPPED,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10361,0.21978021978021983,0.3319201312910284,8,0.06233295859689266,2004-12-17,SHIPPED,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10374,0.3626373626373627,1.0,5,0.3533561214263709,2005-02-02,SHIPPED,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,0.4835164835164836,0.24111050328227568,5,0.12818265570740264,2005-03-03,SHIPPED,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,EMEA,Benitez,Violeta,Small
10402,0.4285714285714286,1.0,1,0.39348576209848485,2005-04-07,SHIPPED,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,CA,75016,France,EMEA,Perrier,Dominique,Medium
10417,0.4285714285714286,1.0,5,0.39742306812826134,2005-05-13,DISPUTED,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,CA,28034,Spain,EMEA,Freyre,Diego,Medium
10107,0.23076923076923078,1.0,4,0.41052536382398813,2003-02-24,SHIPPED,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,EMEA,Yu,Kwai,Medium
10134,0.27472527472527475,1.0,4,0.48099468629119,2003-07-01,SHIPPED,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,CA,75508,France,EMEA,Da Cunha,Daniel,Large
10145,0.29670329670329676,1.0,8,0.3451484375402094,2003-08-25,SHIPPED,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,EMEA,Young,Julie,Medium
10159,0.17582417582417587,1.0,16,0.26841104151486656,2003-10-10,SHIPPED,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,28034,USA,EMEA,Brown,Julie,Medium
10168,0.15384615384615385,1.0,3,0.27210938872864354,2003-10-28,SHIPPED,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Medium
10210,0.3076923076923077,1.0,1,0.41477883074877925,2004-01-12,SHIPPED,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10237,0.3626373626373627,1.0,9,0.48098880422802703,2004-04-05,SHIPPED,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,EMEA,Frick,Michael,Large
10251,0.40659340659340665,1.0,4,0.48498346037364337,2004-05-18,SHIPPED,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,EMEA,Brown,William,Large
10275,0.3296703296703297,1.0,3,0.47202012842014407,2004-07-23,SHIPPED,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,CA,44000,France,EMEA,Labrune,Janine,Medium
10285,0.23076923076923078,1.0,8,0.3643894014044896,2004-08-27,SHIPPED,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,EMEA,Hernandez,Marta,Medium
10299,0.2527472527472528,1.0,11,0.45594886134286033,2004-09-30,SHIPPED,3,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,CA,21240,Finland,EMEA,Karttunen,Matti,Medium
10308,0.15384615384615385,1.0,1,0.3005932795957846,2004-10-15,SHIPPED,4,10,2004,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,EMEA,Frick,Steve,Medium
10318,0.3406593406593407,1.0,3,0.5282835330906492,2004-11-02,SHIPPED,4,11,2004,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,EMEA,Yu,Kyung,Large
10329,0.21978021978021983,1.0,3,0.3960150492586027,2004-11-15,SHIPPED,4,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,EMEA,Yu,Kwai,Medium
10339,0.3626373626373627,0.6809354485776806,3,0.18440268016208025,2004-11-23,SHIPPED,4,11,2004,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10362,0.17582417582417587,1.0,4,0.2339568565372147,2005-01-05,SHIPPED,1,1,2005,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Medium
10374,0.17582417582417587,1.0,1,0.24647682797979809,2005-02-02,SHIPPED,1,2,2005,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,0.16483516483516486,0.8190645514223194,7,0.09852749901291627,2005-03-03,SHIPPED,1,3,2005,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,EMEA,Benitez,Violeta,Small
10105,0.4835164835164836,1.0,2,0.4945249020820298,2003-02-11,SHIPPED,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,CA,1734,Denmark,EMEA,Petersen,Jytte,Large
10119,0.43956043956043966,1.0,11,0.33253288257122626,2003-04-28,SHIPPED,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,CA,5020,Austria,EMEA,Pipps,Georg,Medium
10129,0.29670329670329676,1.0,2,0.2879350796688692,2003-06-12,SHIPPED,2,6,2003,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,CA,WX3 6FW,UK,EMEA,Brown,Ann,Medium
10143,0.4725274725274726,1.0,15,0.3761307347358623,2003-08-10,SHIPPED,3,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,EMEA,Tam,Wing C,Medium
10155,0.28571428571428575,1.0,13,0.29733461660344673,2003-10-06,SHIPPED,4,10,2003,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,CA,21240,Finland,EMEA,Karttunen,Matti,Medium
10167,0.41758241758241765,1.0,9,0.4001295524411665,2003-10-23,CANCELLED,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,CA,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
10178,0.19780219780219782,1.0,12,0.22133836053665001,2003-11-08,SHIPPED,4,11,2003,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,CA,31000,France,EMEA,Roulet,Annette,Medium
10186,0.21978021978021983,1.0,9,0.24793705016002887,2003-11-14,SHIPPED,4,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,CA,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium
10197,0.4285714285714286,1.0,6,0.35603172490767,2003-11-26,SHIPPED,4,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,CA,8022,Spain,EMEA,Saavedra,Eduardo,Medium
10209,0.3626373626373627,1.0,8,0.3467321830468646,2004-01-09,SHIPPED,1,1,2004,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,CA,28034,USA,EMEA,Chandler,Michael,Medium
10222,0.4725274725274726,1.0,12,0.40552928642485997,2004-02-19,SHIPPED,1,2,2004,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,EMEA,Thompson,Valarie,Medium
10248,0.15384615384615385,1.0,3,0.17854046896219083,2004-05-07,CANCELLED,2,5,2004,Classic Cars,136,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,EMEA,Yu,Kwai,Small
10261,0.23076923076923078,1.0,1,0.21293877433979355,2004-06-17,SHIPPED,2,6,2004,Classic Cars,136,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,EMEA,Fresnisre,Jean,Medium
10273,0.2637362637362638,1.0,4,0.22253830142191527,2004-07-21,SHIPPED,3,7,2004,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,CA,B-1180,Belgium,EMEA,Dewey,Catherine,Medium
10283,0.20879120879120883,1.0,6,0.1845401733885169,2004-08-20,SHIPPED,3,8,2004,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,EMEA,Lincoln,Elizabeth,Small
